country_a,country_b,relation_type,trade,sanctions_a_to_b,sanctions_b_to_a,war_aggressor,tariff_a_to_b,tariff_b_to_a,aggressor_commitment_ratio,defender_commitment_ratio,initial_occupation_progress,initial_aid_economy_a_to_b,initial_aid_military_a_to_b,initial_aid_economy_b_to_a,initial_aid_military_b_to_a
北朝鮮,韓国,neutral,false,false,false,,0.0,0.0,,,,,,
北朝鮮,アメリカ,neutral,false,true,true,,0.0,0.0,,,,,,
北朝鮮,中国,neutral,true,false,false,,0.05,0.02,,,,,,
北朝鮮,日本,neutral,false,false,true,,0.0,0.0,,,,,,
北朝鮮,ロシア,alliance,true,false,false,,0.03,0.03,,,,,,
韓国,アメリカ,alliance,true,false,false,,0.03,0.03,,,,,2.0,1.5,
韓国,中国,neutral,true,false,false,,0.08,0.10,,,,,,
韓国,日本,neutral,true,false,false,,0.05,0.05,,,,,,
韓国,ロシア,neutral,true,false,false,,0.10,0.08,,,,,,
アメリカ,中国,neutral,true,false,false,,0.20,0.10,,,,,,
アメリカ,日本,alliance,true,false,false,,0.025,0.025,,,,,2.0,,
アメリカ,ロシア,neutral,true,true,true,,0.35,0.35,,,,,,
中国,日本,neutral,true,false,false,,0.08,0.05,,,,,,
中国,ロシア,neutral,true,false,false,,0.05,0.05,,,,,,
日本,ロシア,neutral,true,false,false,,0.10,0.08,,,,,,
